ID,Name,Year,Duration,Directors,Actors,Genres,Rating
1,No Country for Old Men,2007,122,"Ethan Coen, Joel Coen","Tommy Lee Jones, Javier Bardem, Josh Brolin","Crime, Drama, Thriller",8.2
2,Ratatouille,2007,111,"Brad Bird, Jan Pinkava","Brad Garrett, Lou Romano, Patton Oswalt","Animation, Adventure, Comedy",8.1
3,I Am Legend,2007,101,Francis Lawrence,"Will Smith, Alice Braga, Charlie Tahan","Drama, Horror, Sci-Fi",7.2
4,Pirates of the Caribbean: At World's End,2007,169,Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley","Action, Adventure, Fantasy",7.1
5,Transformers,2007,144,Michael Bay,"Shia LaBeouf, Megan Fox, Josh Duhamel","Action, Adventure, Sci-Fi",7.1
6,Into the Wild,2007,148,Sean Penn,"Emile Hirsch, Vince Vaughn, Catherine Keener","Adventure, Biography, Drama",8.0
7,There Will Be Blood,2007,158,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds",Drama,8.2
8,The Bourne Ultimatum,2007,115,Paul Greengrass,"Matt Damon, Edgar Ramírez, Joan Allen","Action, Mystery, Thriller",8.0
9,Spider-Man 3,2007,139,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Topher Grace","Action, Adventure, Sci-Fi",6.3
10,Harry Potter and the Order of the Phoenix,2007,138,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint","Action, Adventure, Family",7.5
11,Superbad,2007,113,Greg Mottola,"Michael Cera, Jonah Hill, Christopher Mintz-Plasse",Comedy,7.6
12,Zodiac,2007,157,David Fincher,"Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo","Crime, Drama, Mystery",7.7
13,Juno,2007,96,Jason Reitman,"Elliot Page, Michael Cera, Jennifer Garner","Comedy, Drama",7.4
14,Hot Fuzz,2007,121,Edgar Wright,"Simon Pegg, Nick Frost, Martin Freeman","Action, Comedy, Mystery",7.8
15,American Gangster,2007,157,Ridley Scott,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor","Biography, Crime, Drama",7.8
16,Live Free or Die Hard,2007,128,Len Wiseman,"Bruce Willis, Justin Long, Timothy Olyphant","Action, Thriller",7.1
17,Sweeney Todd: The Demon Barber of Fleet Street,2007,116,Tim Burton,"Johnny Depp, Helena Bonham Carter, Alan Rickman","Drama, Horror, Musical",7.3
18,Knocked Up,2007,129,Judd Apatow,"Seth Rogen, Katherine Heigl, Paul Rudd","Comedy, Romance",6.9
19,Ocean's Thirteen,2007,122,Steven Soderbergh,"George Clooney, Brad Pitt, Matt Damon","Crime, Thriller",6.9
20,Shooter,2007,124,Antoine Fuqua,"Mark Wahlberg, Michael Peña, Rhona Mitra","Action, Drama, Thriller",7.1
21,The Mist,2007,126,Frank Darabont,"Thomas Jane, Marcia Gay Harden, Laurie Holden","Horror, Sci-Fi, Thriller",7.1
22,The Simpsons Movie,2007,87,David Silverman,"Dan Castellaneta, Julie Kavner, Nancy Cartwright","Animation, Adventure, Comedy",7.3
23,Shrek the Third,2007,93,"Chris Miller, Raman Hui","Mike Myers, Cameron Diaz, Eddie Murphy","Animation, Adventure, Comedy",6.1
24,3:10 to Yuma,2007,122,James Mangold,"Russell Crowe, Christian Bale, Ben Foster","Action, Crime, Drama",7.6
25,Death Proof,2007,127,Quentin Tarantino,"Kurt Russell, Zoë Bell, Rosario Dawson","Drama, Thriller",7.0
26,Atonement,2007,123,Joe Wright,"Keira Knightley, James McAvoy, Brenda Blethyn","Drama, Mystery, Romance",7.8
27,28 Weeks Later,2007,99,Juan Carlos Fresnadillo,"Jeremy Renner, Rose Byrne, Robert Carlyle","Horror, Sci-Fi",6.9
28,1408,2007,104,Mikael Håfström,"John Cusack, Samuel L. Jackson, Mary McCormack","Fantasy, Horror, Mystery",6.8
29,Gone Baby Gone,2007,114,Ben Affleck,"Morgan Freeman, Ed Harris, Casey Affleck","Crime, Drama, Mystery",7.6
30,Stardust,2007,127,Matthew Vaughn,"Charlie Cox, Claire Danes, Sienna Miller","Adventure, Fantasy, Romance",7.6
31,Fantastic Four: Rise of the Silver Surfer,2007,92,Tim Story,"Ioan Gruffudd, Jessica Alba, Chris Evans","Action, Adventure, Fantasy",5.6
32,Sunshine,2007,107,Danny Boyle,"Cillian Murphy, Rose Byrne, Chris Evans","Sci-Fi, Thriller",7.2
33,Eastern Promises,2007,100,David Cronenberg,"Naomi Watts, Viggo Mortensen, Armin Mueller-Stahl","Crime, Drama, Thriller",7.6
34,The Bucket List,2007,97,Rob Reiner,"Jack Nicholson, Morgan Freeman, Sean Hayes","Adventure, Comedy, Drama",7.3
