ID,Name,Year,Duration,Directors,Actors,Genres,Rating
1,Oppenheimer,2023,180.0,Christopher Nolan,"Cillian Murphy, Emily Blunt, Matt Damon","Biography, Drama, History",8.3
2,Barbie,2023,114.0,Greta Gerwig,"Margot Robbie, Ryan Gosling, Issa Rae","Adventure, Comedy, Fantasy",6.8
3,Spider-Man: Across the Spider-Verse,2023,140.0,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry","Animation, Action, Adventure",8.5
4,Guardians of the Galaxy Vol. 3,2023,150.0,James Gunn,"Chris Pratt, Chukwudi Iwuji, Bradley Cooper","Action, Adventure, Comedy",7.9
5,John Wick: Chapter 4,2023,169.0,Chad Stahelski,"Keanu Reeves, Laurence Fishburne, George Georgiou","Action, Crime, Thriller",7.6
6,Poor Things,2023,141.0,Yorgos Lanthimos,"Emma Stone, Mark Ruffalo, Willem Dafoe","Comedy, Drama, Romance",7.8
7,Mission: Impossible - Dead Reckoning Part One,2023,163.0,Christopher McQuarrie,"Tom Cruise, Hayley Atwell, Ving Rhames","Action, Adventure, Thriller",7.6
8,Killers of the Flower Moon,2023,206.0,Martin Scorsese,"Leonardo DiCaprio, Robert De Niro, Lily Gladstone","Crime, Drama, History",7.6
9,The Super Mario Bros. Movie,2023,92.0,"Aaron Horvath, Michael Jelenic, Pierre Leduc","Chris Pratt, Anya Taylor-Joy, Charlie Day","Animation, Adventure, Comedy",7.0
10,Dungeons & Dragons: Honor Among Thieves,2023,134.0,"John Francis Daley, Jonathan Goldstein","Chris Pine, Michelle Rodriguez, Regé-Jean Page","Action, Adventure, Comedy",7.2
11,Ant-Man and the Wasp: Quantumania,2023,124.0,Peyton Reed,"Paul Rudd, Evangeline Lilly, Michael Douglas","Action, Adventure, Comedy",6.0
12,Saltburn,2023,131.0,Emerald Fennell,"Barry Keoghan, Jacob Elordi, Rosamund Pike","Drama, Thriller",7.0
13,The Flash,2023,144.0,Andy Muschietti,"Ezra Miller, Michael Keaton, Sasha Calle","Action, Adventure, Fantasy",6.6
14,Leave the World Behind,2023,138.0,Sam Esmail,"Julia Roberts, Mahershala Ali, Ethan Hawke","Drama, Mystery, Thriller",6.4
15,Indiana Jones and the Dial of Destiny,2023,154.0,James Mangold,"Harrison Ford, Phoebe Waller-Bridge, Antonio Banderas","Action, Adventure, Sci-Fi",6.5
16,The Killer,2023,118.0,David Fincher,"Michael Fassbender, Tilda Swinton, Charles Parnell","Action, Adventure, Crime",6.7
17,The Holdovers,2023,133.0,Alexander Payne,"Paul Giamatti, Da'Vine Joy Randolph, Dominic Sessa","Comedy, Drama",7.9
18,No Hard Feelings,2023,103.0,Gene Stupnitsky,"Jennifer Lawrence, Andrew Barth Feldman, Laura Benanti","Comedy, Romance",6.3
19,The Covenant,2023,123.0,Guy Ritchie,"Jake Gyllenhaal, Dar Salim, Sean Sagar","Action, Drama, Thriller",7.5
20,The Creator,2023,133.0,Gareth Edwards,"John David Washington, Madeleine Yuna Voyles, Gemma Chan","Action, Adventure, Drama",6.7
21,Air,2023,111.0,Ben Affleck,"Matt Damon, Jason Bateman, Ben Affleck","Drama, Sport",7.4
22,Wonka,2023,116.0,Paul King,"Timothée Chalamet, Gustave Die, Murray McArthur","Adventure, Comedy, Family",7.0
23,Anatomy of a Fall,2023,151.0,Justine Triet,"Sandra Hüller, Swann Arlaud, Milo Machado-Graner","Crime, Drama, Thriller",7.6
24,Napoleon,2023,158.0,Ridley Scott,"Joaquin Phoenix, Vanessa Kirby, Tahar Rahim","Action, Adventure, Biography",6.3
25,The Little Mermaid,2023,135.0,Rob Marshall,"Halle Bailey, Jonah Hauer-King, Melissa McCarthy","Adventure, Family, Fantasy",7.2
26,Godzilla Minus One,2023,124.0,Takashi Yamazaki,"Minami Hamabe, Ryûnosuke Kamiki, Sakura Andô","Action, Adventure, Drama",7.7
27,Extraction II,2023,122.0,Sam Hargrave,"Chris Hemsworth, Golshifteh Farahani, Adam Bessa","Action, Crime, Thriller",7.0
28,Society of the Snow,2023,144.0,J.A. Bayona,"Enzo Vogrincic, Agustín Pardella, Matías Recalt","Adventure, Biography, Drama",7.8
29,The Hunger Games: The Ballad of Songbirds & Snakes,2023,157.0,Francis Lawrence,"Rachel Zegler, Tom Blyth, Viola Davis","Action, Adventure, Drama",6.7
30,Pathaan,2023,146.0,Siddharth Anand,"Shah Rukh Khan, Deepika Padukone, John Abraham","Action, Adventure, Thriller",5.8
31,Evil Dead Rise,2023,96.0,Lee Cronin,"Mirabai Pease, Richard Crouchley, Anna-Maree Thomas",Horror,6.5
32,Past Lives,2023,105.0,Celine Song,"Greta Lee, Teo Yoo, John Magaro","Drama, Romance",7.8
33,Elemental,2023,101.0,Peter Sohn,"Leah Lewis, Mamoudou Athie, Ronnie Del Carmen","Animation, Adventure, Comedy",7.0
34,The Marvels,2023,105.0,Nia DaCosta,"Brie Larson, Teyonah Parris, Iman Vellani","Action, Adventure, Sci-Fi",5.5
35,12th Fail,2023,147.0,Vidhu Vinod Chopra,"Vikrant Massey, Medha Shankr, Anant Joshi","Biography, Drama",8.7
36,Anyone But You,2023,103.0,Will Gluck,"Sydney Sweeney, Glen Powell, Alexandra Shipp","Comedy, Romance",6.1
37,The Equalizer 3,2023,109.0,Antoine Fuqua,"Denzel Washington, Dakota Fanning, Eugenio Mastrandrea","Action, Crime, Thriller",6.8
38,Scream VI,2023,122.0,"Matt Bettinelli-Olpin, Tyler Gillett","Courteney Cox, Melissa Barrera, Jenna Ortega","Horror, Mystery, Thriller",6.4
39,Shazam! Fury of the Gods,2023,130.0,David F. Sandberg,"Zachary Levi, Asher Angel, Jack Dylan Grazer","Action, Adventure, Comedy",5.9
40,Fast X,2023,141.0,Louis Leterrier,"Vin Diesel, Michelle Rodriguez, Jason Statham","Action, Adventure, Crime",5.7
41,Rebel Moon - Part One: A Child of Fire,2023,133.0,Zack Snyder,"Sofia Boutella, Djimon Hounsou, Ed Skrein","Action, Adventure, Drama",5.6
42,Adipurush,2023,179.0,Om Raut,"Prabhas, Kriti Sanon, Saif Ali Khan","Action, Drama",2.7
43,The Zone of Interest,2023,105.0,Jonathan Glazer,"Christian Friedel, Sandra Hüller, Johann Karthaus","Drama, History, War",7.3
44,Knock at the Cabin,2023,100.0,M. Night Shyamalan,"Dave Bautista, Jonathan Groff, Ben Aldridge","Horror, Mystery, Thriller",6.1
45,Asteroid City,2023,105.0,Wes Anderson,"Jason Schwartzman, Scarlett Johansson, Tom Hanks","Comedy, Drama, Romance",6.4
46,A Haunting in Venice,2023,103.0,Kenneth Branagh,"Kenneth Branagh, Michelle Yeoh, Jamie Dornan","Crime, Drama, Horror",6.5
47,Sound of Freedom,2023,131.0,Alejandro Monteverde,"Jim Caviezel, Mira Sorvino, Bill Camp","Biography, Crime, Drama",7.6
48,Late Night with the Devil,2023,93.0,"Cameron Cairnes, Colin Cairnes","David Dastmalchian, Laura Gordon, Ian Bliss",Horror,7.0
49,Transformers: Rise of the Beasts,2023,127.0,Steven Caple Jr.,"Anthony Ramos, Dominique Fishback, Luna Lauren Velez","Action, Adventure, Sci-Fi",6.0
50,Gran Turismo,2023,134.0,Neill Blomkamp,"David Harbour, Orlando Bloom, Archie Madekwe","Action, Adventure, Drama",7.1
51,Cocaine Bear,2023,95.0,Elizabeth Banks,"Keri Russell, Alden Ehrenreich, O'Shea Jackson Jr.","Comedy, Crime, Thriller",5.9
52,Hit Man,2023,115.0,Richard Linklater,"Glen Powell, Adria Arjona, Austin Amelio","Comedy, Crime, Romance",6.8
53,Five Nights at Freddy's,2023,109.0,Emma Tammi,"Josh Hutcherson, Piper Rubio, Elizabeth Lail","Horror, Mystery, Thriller",5.4
54,Renfield,2023,93.0,Chris McKay,"Nicholas Hoult, Nicolas Cage, Awkwafina","Action, Comedy, Fantasy",6.4
55,American Fiction,2023,117.0,Cord Jefferson,"Jeffrey Wright, Skyler Wright, John Ales","Comedy, Drama",7.5
56,Blue Beetle,2023,127.0,Angel Manuel Soto,"Xolo Maridueña, Bruna Marquezine, Becky G","Action, Adventure, Sci-Fi",5.9
57,Aquaman and the Lost Kingdom,2023,124.0,James Wan,"Jason Momoa, Patrick Wilson, Yahya Abdul-Mateen II","Action, Adventure, Fantasy",5.6
58,Animal,2023,204.0,Sandeep Reddy Vanga,"Ranbir Kapoor, Anil Kapoor, Bobby Deol","Action, Crime, Drama",6.1
